39.300000	93
40.200000	83
40.200000	326
40.700000	90
40.800000	448
40.900000	177
41.400000	142
41.400000	172
41.400000	479
42.100000	369
42.600000	500
42.800000	170
42.800000	255
42.800000	355
42.800000	363
42.800000	365
42.900000	202
42.900000	239
42.900000	359
42.900000	393
42.900000	410
42.900000	411
43.000000	502
43.200000	221
43.800000	422
44.100000	132
44.100000	408
44.100000	466
44.400000	504
44.600000	503
44.700000	366
45.000000	241
45.000000	384
45.000000	497
45.400000	501
45.700000	505
47.800000	500
48.000000	269
48.000000	425
49.600000	502
50.600000	503
52.200000	504
55.600000	501
56.000000	505
