33.800000	491
38.700000	87
38.900000	234
38.900000	300
39.100000	206
39.600000	258
39.700000	453
40.300000	337
40.500000	341
41.400000	31
41.400000	41
41.400000	261
41.400000	263
41.400000	411
41.400000	478
41.500000	77
41.500000	349
41.500000	424
41.800000	504
42.000000	4
42.000000	230
42.000000	251
42.100000	47
42.100000	435
42.100000	457
42.500000	107
42.500000	174
42.500000	233
42.500000	373
42.700000	96
42.700000	178
42.700000	355
42.700000	379
42.700000	445
43.100000	225
43.200000	503
43.200000	505
43.300000	500
43.800000	326
44.000000	502
44.600000	26
44.600000	59
44.600000	61
45.700000	136
45.700000	249
45.700000	423
46.300000	501
46.400000	79
46.400000	104
46.400000	143
46.400000	167
48.600000	500
48.600000	504
48.900000	503
49.100000	502
52.100000	505
54.000000	501
